rest,rest-href,next,next-href,rank,price,cuisine,meals,features,goodFor,hours,location,phone,rating,reveiws,moreReviews,moreReviews-href
"Smoke House Deli","https://www.tripadvisor.com/Restaurant_Review-g297628-d4086719-Reviews-Smoke_House_Deli-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#36 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Valet Parking, Serves Alcohol, Full Bar, Takeout","Large groups, Kids, Families with children, Business meetings, Special occasions","Sunday
9:00 am - 11:00 pm


Monday
9:00 am - 11:00 pm


Tuesday
9:00 am - 11:00 pm


Wednesday
9:00 am - 11:00 pm


Thursday
9:00 am - 11:00 pm


Friday
9:00 am - 11:00 pm


Saturday
9:00 am - 11:00 pm","","Address:
 100 Feet Road, Opposite Titan Showroom | Indiranagar, Bengaluru 560038, India","+91 80 2520 0898","","Theogift



Bengaluru, India





Level  Contributor 


8 reviews 


3 restaurant reviews





5 helpful votes 







“One of the best steak place”



Reviewed 4 weeks ago




Being a regular to this place, we enjoyed almost every meal we had including the service except for once when we had to wait for a long time to get our order.. But the food never disappoints... Try the SHD recommended steak...




Helpful? 


Thank Theogift 





Report 





Smoke House D, Manager at Smoke House Deli, responded to this review



Hi Guest,
Thank you for your valuable feedback. Your support is very important to us as it keeps us motivated. We are thrilled to learn that you found our gourmet delights to be delicious. It was a pleasure hosting you and we look forward to many more visits in the future.
Also, we'd like to send you a little something...



More","",""
"Hard Rock Cafe Bengaluru","https://www.tripadvisor.com/Restaurant_Review-g297628-d919190-Reviews-Hard_Rock_Cafe_Bengaluru-Bengaluru_Bangalore_District_Karnataka.html","","","#22 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night, Drinks","Reservations, Seating, Waitstaff, Parking Available, Valet Parking, Television, Serves Alcohol, Full Bar","Large groups, Bar scene, Special occasions","Sunday
12:00 pm - 11:30 pm


Monday
12:00 pm - 11:30 pm


Tuesday
12:00 pm - 11:30 pm


Wednesday
12:00 pm - 11:30 pm


Thursday
12:00 pm - 11:30 pm


Friday
12:00 pm - 12:30 am


Saturday
12:00 pm - 12:30 am","","Address:
 No 40 St Marks Road | Near Anil Kumble Circle, Opposite LIC building, Bengaluru 560001, India","null","","BlrTravllr



Bengaluru, India





Level  Contributor 


164 reviews 


53 restaurant reviews





6 helpful votes 







“Good space for events”



Reviewed 1 week ago




Had been to an event, good place, tables turned to networking for VCs/startups, having a bar helps! Centrally located, 5 minutes walk from M.G. road metro station.




Helpful? 


Thank BlrTravllr 





Report 




BlrTravllr has 1 more review of Hard Rock Cafe Bengaluru 


“Set in a colonial stone building”


 

Reviewed October 14, 2016






Team_HardRockCafe, General Manager at Hard Rock Cafe Bengaluru, responded to this review



Hi,
Thanks for taking the time to post your review! Glad you had a great time and loved our place. Do drop in soon.
Team Hard Rock Cafe



More","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d919190-Reviews-Hard_Rock_Cafe_Bengaluru-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Vidyarthi Bhavan","https://www.tripadvisor.com/Restaurant_Review-g297628-d785656-Reviews-Vidyarthi_Bhavan-Bengaluru_Bangalore_District_Karnataka.html","","","#17 of 10,125 Restaurants in Bengaluru","$2","Indian, Asian, Vegetarian Friendly, Vegan Options","Brunch, Breakfast, Lunch, Dinner","Takeout, Seating, Waitstaff","Dining on a budget, Families with children, Local cuisine, Kids","","Address:
 No 32 Vidyarthi Bhavan Ground Floor Gandhi Bazaar Main Road | Near Gandhi Bazaar Circle, Bengaluru 560 004, India","+91 80 2667 7588","238","","",""
"Library Bar","https://www.tripadvisor.com/Restaurant_Review-g297628-d6401157-Reviews-Library_Bar-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#40 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Drinks","Reservations, Seating, Waitstaff, Parking Available, Full Bar, Wheelchair Accessible, Serves Alcohol","Romantic, Bar scene, Large groups, Special occasions, Business meetings, Families with children","Sunday
11:00 am - 2:45 am


Monday
11:00 am - 2:45 am


Tuesday
11:00 am - 2:45 am


Wednesday
11:00 am - 2:45 am


Thursday
11:00 am - 2:45 am


Friday
11:00 am - 2:45 am


Saturday
11:00 am - 2:45 am","","Address:
 23 Old Airport Road | The Leela Palace, Bengaluru 560008, India","+91 80 2521 1234","14","","",""
"Feast","https://www.tripadvisor.com/Restaurant_Review-g297628-d2234003-Reviews-Feast-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#57 of 10,125 Restaurants in Bengaluru","$15 -
$50","Indian, Asian, Chinese, International, Vegetarian Friendly, Gluten Free Options, Vegan Options","Brunch, Breakfast, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Delivery, Free Wifi","Large groups, Special occasions, Business meetings, Kids, Families with children, Romantic","Wednesday
6:30 am - 11:30 pm","Address:
 26 1 Dr Raj Kumar Road, Bengaluru 560055, India","+91 80 4252 1000","","","",""
"Bene","https://www.tripadvisor.com/Restaurant_Review-g297628-d2234005-Reviews-Bene-Bengaluru_Bangalore_District_Karnataka.html","","","#1 of 10,125 Restaurants in Bengaluru","$20 -
$50","Italian, Pizza, European, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Lunch, Dinner, Late Night","Takeout, Reservations, Private Dining, Seating, Waitstaff, Parking Available, Valet Parking, Highchairs Available, Serves Alcohol, Full Bar, Delivery, Validated Parking, Wheelchair Accessible","Special occasions, Large groups, Kids, Families with children, Romantic, Bar scene, Business meetings","","Address:
 Sheraton Bangalore Hotel, 4th Floor, 26/1, Dr. Rajkumar Road, Malleswaram-Rajajinagar, Bengaluru 560055, India","+91 80 4252 0166","","Bhavana P



Bengaluru, India





Level  Contributor 


5 reviews 


3 restaurant reviews








“Awesome service and food ”



Reviewed 4 weeks ago



via mobile




It was a business trip and had an amazing time at the hotel Sheraton Grand Bangalore .. Experience of hospitality was upto the mark .. Especially Bene has awesome Italian cuisine..Would recommend the hotel to all my colleagues




Helpful? 


Thank Bhavana P 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d2234005-Reviews-or10-Bene-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Toit","https://www.tripadvisor.com/Restaurant_Review-g297628-d2057435-Reviews-Toit-Bengaluru_Bangalore_District_Karnataka.html","","","#15 of 10,125 Restaurants in Bengaluru","$5 -
$7","Bar, European, Pub, Brew Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Validated Parking, Valet Parking, Television, Serves Alcohol, Full Bar","Special occasions, Bar scene, Large groups","","Address:
 100 Namma Metro Pillar 62 Feet Road | Indiranagar, Bengaluru 560038, India","+91 90197 13388","","harshchief



Ahmedabad, India





Level  Contributor 


116 reviews 


54 restaurant reviews





11 helpful votes 







“brewed beer hub”



Reviewed 3 days ago
NEW 



ambience attracts you at first followed by types of beers. i had rice and wheat based beers. amazing taste. best place for sit, drink and chat. food has limited options in veg but pizzas are of mouth watering taste.




Helpful? 


Thank harshchief 





Report","",""
"Absolute Barbecue","https://www.tripadvisor.com/Restaurant_Review-g297628-d5567563-Reviews-Absolute_Barbecue-Bengaluru_Bangalore_District_Karnataka.html","","","#12 of 10,125 Restaurants in Bengaluru","$10 -
$15","Indian, Barbecue, Asian, Vegetarian Friendly, Halal, Vegan Options, Gluten Free Options","Brunch, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Highchairs Available","Kids, Families with children, Special occasions, Large groups","","Address:
 3rd Floor Near Park Plaza Hotel 90 4 Outer Ring Road | Marathalli outer ring road, Bengaluru 560037, India","+91 88800 99992","","arunengg



Bangalore





Level  Contributor 


42 reviews 


10 restaurant reviews





38 helpful votes 







“Good barbecue spread”



Reviewed 2 weeks ago



via mobile




We normally visit a famous barbecue restaurant for special occasions. Here we had been for the first time for my wife's birthday day.
The restaurant was fully packed and it is very noisy. The service wasn't so professional due to unpropotionate staff.
Food was good, counters are good & Mocktails were too good. Got a chance to taste duck &...


More  










 


  


Helpful? 


Thank arunengg 





Report 





Arup C, Guest Relations Manager at Absolute Barbecue, responded to this review



Hello Dear Guest
Thank you for reviewing us. We indeed look forward to have you with us soon.
Happy Barbecuing.
Regards
Team AB's



More","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d5567563-Reviews-Absolute_Barbecue-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Polo Club (The Oberoi)","https://www.tripadvisor.com/Restaurant_Review-g297628-d810679-Reviews-Polo_Club_The_Oberoi-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#33 of 10,125 Restaurants in Bengaluru","$12 -
$19","Bar, European, Vegetarian Friendly","Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Validated Parking, Television","Romantic, Scenic view, Bar scene, Large groups, Special occasions, Business meetings, Kids, Families with children","","Address:
 37-39 M G Road | The Oberoi Bangalore, Bengaluru 560001, India","null","","Meloukea



Adelaide, Australia






1 review 







“Delightful meals on the verandah”



Reviewed November 27, 2016



via mobile




Stayed here for three nights and everything was lovely. I had both breakfast and lunch under the wide, cool verandah facing the gardens. A perfect spot to catch up on emails and read a book. Special thanks to Darson and the team, his manner, assistance and service was exceptional.








 



 


  


Helpful? 


Thank Meloukea 





Report 





Oberoi_Bengaluru, General Manager at Polo Club (The Oberoi), responded to this review



Dear Guest,
It was a delight to have you stay with us .
Thank you for taking time to post your feedback on TripAdvisor.
We are happy to read your review and sincerely thank you for your positive feedback on our ambainace, service, food and service.
I have conveyed your compliments to the our chefs, and the service team including...



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d810679-Reviews-or10-Polo_Club_The_Oberoi-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Tandoor","https://www.tripadvisor.com/Restaurant_Review-g297628-d1191145-Reviews-Tandoor-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#50 of 10,125 Restaurants in Bengaluru","null","Breakfast, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Serves Alcohol, Delivery, Takeout, Valet Parking, Wheelchair Accessible","Large groups, Business meetings, Special occasions, Kids, Families with children","Sunday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Monday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Tuesday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Wednesday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Thursday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Friday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Saturday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm","","Address:
 Mahatma Gandhi Road | Opposite Keb Office, Bengaluru 560001, India","+91 80 2558 4620","156","","",""
"Barbeque Nation","https://www.tripadvisor.com/Restaurant_Review-g297628-d795234-Reviews-Barbeque_Nation-Bengaluru_Bangalore_District_Karnataka.html","","","#16 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Serves Alcohol, Buffet","Special occasions, Kids, Large groups, Families with children, Business meetings","Sunday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Monday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Tuesday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Wednesday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Thursday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Friday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Saturday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm","","Address:
 4005 100 Feet Road, Opposite Floating Walls | Opposite Floating Walls, Bengaluru 560038, India","+91 80 6060 0000","","Sakeena M








Level  Contributor 


3 reviews 







“Great”



Reviewed 1 week ago



via mobile




Excellent food, great service.. would love to visit this place. Gulab jamun, prawns and dal makhni are to die for..




Helpful? 


Thank Sakeena M 





Report","",""
"Sattvam","https://www.tripadvisor.com/Restaurant_Review-g297628-d4010983-Reviews-Sattvam-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#51 of 10,125 Restaurants in Bengaluru","null","Breakfast, Lunch, Dinner","Reservations, Seating, Waitstaff, Validated Parking, Valet Parking, Highchairs Available","Kids, Families with children, Special occasions, Large groups","Sunday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Monday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Tuesday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Wednesday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Thursday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Friday
9:00 am - 2:00 pm4:00 pm - 9:00 pm


Saturday
9:00 am - 2:00 pm4:00 pm - 9:00 pm","","Address:
 4th Floor 16'th Cross Road | Sadashiva Nagar, Sankey Rd, Opp to H.P. Shell Petrol Bank Above Godrej Nature Basket, Bengaluru 560080, India","+91 78130 02550","","sherlock0079



Bangalore





Level  Contributor 


34 reviews 


8 restaurant reviews





10 helpful votes 







“Excellent vegetarian feast”



Reviewed February 22, 2017




This place in sadashivnagar serves a pure vegetarian feast - a large spread of starters, soup, main course, desserts, chat etc. It is a buffet, on the expensive side, but worth it for the occasional splurge with family. Everything is 'sattvic' veg food. They have some good unique starters and their dessert spread is quite big and tasty too. You...


More  






Helpful? 


Thank sherlock0079 





Report","",""
"Toscano","https://www.tripadvisor.com/Restaurant_Review-g297628-d1791387-Reviews-Toscano-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#38 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar","Business meetings, Families with children, Kids, Large groups, Special occasions, Romantic","Sunday
12:00 pm - 11:30 pm


Monday
12:00 pm - 11:30 pm


Tuesday
12:00 pm - 11:30 pm


Wednesday
12:00 pm - 11:30 pm


Thursday
12:00 pm - 11:30 pm


Friday
12:00 pm - 11:30 pm


Saturday
12:00 pm - 11:30 pm","","Address:
 The Collection - U.B. City, Level II, Concord Block, 24, Vittal Mallya Road, Bengaluru, India","null","","Tripth C








Level  Contributor 


8 reviews 


6 restaurant reviews








“Awesome food ”



Reviewed February 5, 2017



via mobile




This was one of the best Italian food you can find in Bangalore. Excellent presentation and courteous staff and the staff was well educated about their menu too. Most of the high end restraunt's staff doesn't know what is in their menu. Really liked the place








 



 


  


Helpful? 


Thank Tripth C 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d1791387-Reviews-or10-Toscano-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
